TranslatedMetabolite	VMHmetabolite
cpd00001	h2o
cpd00002	atp
cpd00003	nad
cpd00004	nadh
cpd00005	nadph
cpd00006	nadp
cpd00007	o2
cpd00008	adp
cpd00009	pi
cpd00010	coa
cpd00011	co2
cpd00012	ppi
cpd00013	nh4
cpd00014	udp
cpd00015	fad
cpd00016	pydx5p
cpd00017	amet
cpd00018	amp
cpd00019	ahcys
cpd00020	pyr
cpd00022	accoa
cpd00023	glu_L
cpd00024	akg
cpd00025	h2o2
cpd00026	udpg
cpd00027	glc_D
cpd00028	pheme
cpd00029	ac
cpd00030	mn2
cpd00031	gdp
cpd00032	oaa
cpd00033	gly
cpd00034	zn2
cpd00035	ala_L
cpd00036	succ
cpd00037	uacgam
cpd00038	gtp
cpd00039	lys_L
cpd00040	glx
cpd00041	asp_L
cpd00042	gthrd
cpd00043	udpgal
cpd00044	paps
cpd00045	pap
cpd00046	cmp
cpd00047	for
cpd00048	so4
cpd00049	Rtotal
cpd00050	fmn
cpd00051	arg_L
cpd00052	ctp
cpd00053	gln_L
cpd00054	ser_L
cpd00055	fald
cpd00056	thmpp
cpd00057	oh
cpd00058	cu2
cpd00059	ascb_L
cpd00060	met_L
cpd00061	pep
cpd00062	utp
cpd00063	ca2
cpd00064	orn
cpd00065	trp_L
cpd00066	phe_L
cpd00067	h
cpd00068	itp
cpd00069	tyr_L
cpd00070	malcoa
cpd00071	acald
cpd00072	f6p
cpd00073	urea
cpd00074	s
cpd00075	no2
cpd00076	sucr
cpd00077	catechol
cpd00078	succoa
cpd00079	g6p
cpd00080	glyc3p
cpd00081	so3
cpd00082	fru
cpd00083	gdpmann
cpd00084	cys_L
cpd00085	ala_B
cpd00086	ppcoa
cpd00087	thf
cpd00089	g1p
cpd00090	idp
cpd00091	ump
cpd00092	ura
cpd00093	anth
cpd00094	2obut
cpd00095	dhap
cpd00096	cdp
cpd00097	pqq
cpd00098	chol
cpd00099	cl
cpd00100	glyc
cpd00101	r5p
cpd00102	g3p
cpd00103	prpp
cpd00104	btn
cpd00105	rib_D
cpd00106	fum
cpd00107	leu_L
cpd00108	gal
cpd00109	ficytcc553
cpd00110	focytcc553
cpd00111	gthox
cpd00112	cmpacna
cpd00113	ipdp
cpd00114	imp
cpd00115	datp
cpd00116	meoh
cpd00117	ala_D
cpd00118	ptrc
cpd00119	his_L
cpd00120	btcoa
cpd00121	inost
cpd00122	acgam
cpd00123	3mob
cpd00125	mlthf
cpd00126	gmp
cpd00127	phenol
cpd00128	ade
cpd00129	pro_L
cpd00130	mal_L
cpd00132	asn_L
cpd00133	ncam
cpd00134	pmtcoa
cpd00135	hcys_L
cpd00136	4hbz
cpd00137	cit
cpd00138	man
cpd00139	glyclt
cpd00141	ppa
cpd00142	acac
cpd00143	phpyr
cpd00144	udpglcur
cpd00145	hpyr
cpd00146	cbp
cpd00147	5mta
cpd00149	cobalt2
cpd00150	cyan
cpd00151	thym
cpd00152	agm
cpd00153	bz
cpd00154	xyl_D
cpd00155	glycogen
cpd00156	val_L
cpd00157	dha
cpd00158	cellb
cpd00159	lac_L
cpd00160	chsterol
cpd00161	thr_L
cpd00162	etha
cpd00164	glcur
cpd00165	hdxlamn
cpd00166	adocbl
cpd00167	crm_hs
cpd00168	23dhb
cpd00169	3pg
cpd00170	g15lac
cpd00171	ru5p_D
cpd00173	ntp
cpd00174	iflrpht
cpd00175	udpacgal
cpd00176	2ddglcn
cpd00177	dadp
cpd00178	acetone
cpd00179	malt
cpd00180	oxa
cpd00182	adn
cpd00183	sarcs
cpd00184	thymd
cpd00185	arab_D
cpd00186	glu_D
cpd00187	mma
cpd00188	arachd
cpd00190	glc_bD
cpd00191	msa
cpd00192	coucoa
cpd00193	aps
cpd00195	1oh
cpd00196	actp
cpd00197	34dhb
cpd00198	xu5p_D
cpd00199	sucsal
cpd00200	4mop
cpd00201	10fthf
cpd00202	dmpp
cpd00203	13dpg
cpd00204	co
cpd00205	k
cpd00206	dcmp
cpd00207	gua
cpd00208	lcts
cpd00209	no3
cpd00210	taur
cpd00211	but
cpd00212	srb_L
cpd00213	lpam
cpd00214	hdca
cpd00215	pydx
cpd00216	chor
cpd00217	isomal
cpd00218	nac
cpd00219	pphn
cpd00220	ribflv
cpd00221	lac_D
cpd00222	glcn
cpd00223	glyc_R
cpd00224	arab_L
cpd00225	bzal
cpd00226	hxan
cpd00227	hom_L
cpd00229	gcald
cpd00231	dhbpt
cpd00232	acnam
cpd00233	thbpt
cpd00235	man6p
cpd00236	e4p
cpd00237	andrstndn
cpd00238	s7p
cpd00239	h2s
cpd00241	dgtp
cpd00242	hco3
cpd00244	ni2
cpd00245	M01341
cpd00246	ins
cpd00247	orot
cpd00248	quint
cpd00249	uri
cpd00250	creat
cpd00251	adprib
cpd00254	mg2
cpd00256	cdpchol
cpd00258	rbl_D
cpd00259	xylu_D
cpd00260	icit
cpd00261	xylu_L
cpd00262	oxcoa
cpd00263	pydxn
cpd00264	spmd
cpd00266	crn
cpd00267	sphings
cpd00268	tsul
cpd00269	2oxoadp
cpd00270	caflcoa
cpd00272	gdpfuc
cpd00274	citr_L
cpd00275	Lkynr
cpd00276	gam
cpd00277	dgsn
cpd00278	indpyr
cpd00279	aacoa
cpd00280	galur
cpd00281	4abut
cpd00282	dhor_S
cpd00283	grdp
cpd00284	6pgc
cpd00285	ethamp
cpd00286	udcpp
cpd00287	2mop
cpd00288	gam6p
cpd00289	ggdp
cpd00290	fdp
cpd00291	34dhphe
cpd00292	hmgcoa
cpd00293	acgam6p
cpd00294	damp
cpd00295	dgdp
cpd00296	dgmp
cpd00297	dtdp
cpd00298	dtmp
cpd00299	dump
cpd00300	urate
cpd00301	strl
cpd00302	tzeatn
cpd00304	retinal
cpd00305	thm
cpd00306	xylt
cpd00307	csn
cpd00308	HC00319
cpd00309	xan
cpd00311	gsn
cpd00312	hista
cpd00313	qrctn
cpd00314	mnl
cpd00315	gdpglc
cpd00318	trypta
cpd00321	ferlcoa
cpd00322	ile_L
cpd00323	Lpipecol
cpd00324	ch4s
cpd00325	prgstrn
cpd00327	stcoa
cpd00328	strptm
cpd00329	chxn
cpd00330	dhf
cpd00331	acon_C
cpd00332	mev_R
cpd00333	cinnm
cpd00334	lald_L
cpd00337	56dura
cpd00338	5aop
cpd00339	5aptn
cpd00340	25dop
cpd00341	ncptrc
cpd00342	acorn
cpd00343	cbasp
cpd00344	forglu
cpd00345	5mthf
cpd00346	aspsa
cpd00347	methf
cpd00348	gal1p
cpd00349	s17bp
cpd00350	frdp
cpd00351	saccrp_L
cpd00352	thp2c
cpd00353	ticit_D
cpd00354	ndp
cpd00355	nmn
cpd00356	dctp
cpd00357	dttp
cpd00358	dutp
cpd00359	indole
cpd00360	purine
cpd00361	actn_R
cpd00362	estrone
cpd00363	etoh
cpd00364	qn
cpd00365	retinol
cpd00366	rbt
cpd00367	cytd
cpd00371	ppal
cpd00372	pyrzl
cpd00373	snpt
